,Date,Open Price,High Price,Low Price,Close Price,Volume,MA60,MA20,MA10,MA5,kc_middle,kc_upper,kc_lower
142,20221106 22:00:00,21126.89,21175.7,21043.92,21139.22,10329.11032,21210.580833333333,21215.1755,21207.987,21177.579999999998,21185.29204068329,21344.27334438937,21026.310736977208
143,20221106 23:00:00,21138.63,21151.13,20886.13,20905.58,22822.50331,21216.36616666667,21198.7605,21176.497,21113.986,21171.96057241115,21368.043755303526,20975.877389518773
144,20221107 00:00:00,20905.58,20952.0,20836.74,20899.11,17920.5649,21218.724,21182.3295,21143.824,21054.908,21158.95668212661,21358.48354752809,20959.42981672513
145,20221107 01:00:00,20899.11,21004.23,20820.0,20985.62,18865.37748,21222.480166666668,21173.84,21118.276,21011.372000000003,21150.69589579405,21367.116078180075,20934.275713408028
146,20221107 02:00:00,20986.4,21069.77,20960.53,20987.21,14598.71574,21218.628833333332,21164.627,21091.253,20983.348,21142.90487222323,21359.53103640933,20926.278708037127
147,20221107 03:00:00,20987.21,20990.0,20878.0,20913.82,12037.0277,21219.880833333336,21150.5935,21057.924000000003,20938.268,21131.988087394846,21349.351635286956,20914.624539502736
148,20221107 04:00:00,20913.82,20914.6,20818.65,20892.42,11695.38476,21221.6995,21132.5295,21024.810999999998,20935.636,21120.572134340884,21335.389327056477,20905.75494162529
149,20221107 05:00:00,20891.82,20918.33,20843.75,20858.95,11163.70947,21223.111666666668,21113.416999999998,20991.256,20927.604,21108.105670458273,21316.357143003515,20899.85419791303
150,20221107 06:00:00,20858.95,20909.72,20776.87,20861.43,16663.47023,21221.583333333332,21093.305,20957.069,20902.765999999996,21096.35178665648,21310.348112654978,20882.355460657982
151,20221107 07:00:00,20861.56,20868.66,20612.67,20635.74,24588.61281,21213.70333333333,21062.338,20907.909999999996,20832.472,21074.40469115216,21318.199387854915,20830.6099944494
152,20221107 08:00:00,20635.1,20726.49,20571.52,20716.86,22872.28897,21206.815166666664,21036.8305,20865.674,20793.08,21057.368994662094,21307.778222354664,20806.959766969525
153,20221107 09:00:00,20716.86,20757.81,20680.54,20681.13,16002.83049,21198.668166666663,21009.863,20843.229,20750.822000000004,21039.44307227081,21280.265376333078,20798.62076820854
154,20221107 10:00:00,20682.15,20811.92,20674.0,20757.61,15085.05205,21191.661166666665,20986.4515,20829.078999999998,20730.554,21026.01547296978,21270.33954690888,20781.69139903068
155,20221107 11:00:00,20757.61,20781.77,20720.09,20733.46,10165.20348,21184.743499999997,20961.0695,20803.863,20704.96,21012.077362764554,21244.30502842973,20779.849697099376
156,20221107 12:00:00,20733.97,20773.77,20688.28,20761.0,14839.89429,21173.521333333334,20936.2475,20781.242000000002,20730.012,21000.11566054653,21226.218559244175,20774.012761848884
157,20221107 13:00:00,20761.0,20798.74,20697.58,20721.5,17036.6829,21162.7995,20909.967,20762.010000000002,20730.94,20986.84229053122,21210.566899218953,20763.11768184349
158,20221107 14:00:00,20720.72,20764.29,20626.25,20654.36,25227.47776,21150.58,20881.5075,20738.204,20725.586,20971.003029762498,21199.96317785912,20742.042881665875
159,20221107 15:00:00,20655.04,20776.15,20644.29,20764.95,24401.73533,21139.252333333334,20860.030000000002,20728.804,20727.053999999996,20961.186984512522,21193.623117965395,20728.75085105965
160,20221107 16:00:00,20764.95,20803.41,20660.0,20662.98,17636.17229,21127.514666666666,20833.014,20708.959,20712.958000000002,20946.981143969275,21184.855664310486,20709.106623628064
161,20221107 17:00:00,20662.98,20720.37,20652.52,20703.0,12044.48993,21116.066333333332,20811.7975,20715.684999999998,20701.358,20935.358702541027,21163.015770453087,20707.701634628967
162,20221107 18:00:00,20702.6,20733.7,20685.02,20711.71,11018.29113,21104.571500000002,20790.422,20715.170000000002,20699.4,20924.705017666387,21139.33237833386,20710.077656998914
163,20221107 19:00:00,20711.71,20892.04,20706.63,20847.51,17294.9206,21095.623,20787.5185,20731.807999999997,20738.03,20921.027832842105,21151.27445793197,20690.78120775224
164,20221107 20:00:00,20848.33,20890.71,20797.29,20804.19,12602.62566,21087.509499999996,20782.7725,20736.466,20745.877999999997,20915.462351229973,21141.36831368851,20689.556388771438
165,20221107 21:00:00,20802.69,20835.99,20616.34,20681.03,14051.84352,21077.349166666667,20767.542999999998,20731.222999999998,20749.487999999998,20904.295513537185,21151.54088029117,20657.0501467832
166,20221107 22:00:00,20681.97,20685.0,20384.89,20461.43,17662.45614,21063.07066666667,20741.254,20701.265999999996,20701.174,20883.200576251125,21165.74340713554,20600.657745366712
167,20221107 23:00:00,20460.41,20607.0,20445.58,20591.13,11502.77574,21049.512333333332,20725.1195,20688.229,20677.058,20869.28862015647,21155.861168035237,20582.7160722777
168,20221108 00:00:00,20590.67,20629.67,20499.22,20514.25,13374.87694,21036.239999999998,20706.211,20674.218,20610.406,20852.377581284036,21136.382874327453,20568.37228824062
169,20221108 01:00:00,20515.11,20638.15,20494.53,20628.76,12244.43422,21025.5285,20694.701500000003,20660.599,20575.32,20841.726462993705,21126.055226738164,20557.397699249246
170,20221108 02:00:00,20628.76,20673.38,20434.12,20444.52,15998.57577,21011.61466666667,20673.856,20638.753,20528.018,20822.807366224264,21126.555253885148,20519.05947856338
171,20221108 03:00:00,20443.44,20534.0,20116.13,20148.66,39587.9448,20992.438666666665,20649.502,20583.319,20465.464,20790.697831641985,21147.64493125394,20433.75073203003
172,20221108 04:00:00,20147.62,20242.4,19546.7,19637.09,55120.49298,20964.31133333333,20595.5135,20475.856999999996,20274.656,20735.75226266271,21196.14465356853,20275.35987175689
173,20221108 05:00:00,19636.07,19735.34,19344.0,19704.38,44274.72131,20937.396166666666,20546.676,20361.544,20112.682,20686.629197168197,21179.250349335354,20194.00804500104
174,20221108 06:00:00,19704.38,19856.08,19650.0,19783.01,26464.85531,20912.236833333332,20497.946,20259.426,19943.532,20643.591283601472,21128.166320472843,20159.0162467301
175,20221108 07:00:00,19782.2,19855.3,19720.0,19796.9,17690.20218,20886.666666666668,20451.118,20171.013,19814.008,20603.265130142994,21066.442663137972,20140.087597148016
176,20221108 08:00:00,19796.9,19801.39,19663.03,19729.9,18421.65229,20859.624666666667,20399.563000000002,20097.86,19730.256,20561.668926066723,21006.20070561378,20117.137146519664
177,20221108 09:00:00,19729.9,19794.3,19695.46,19776.33,13578.03427,20833.641,20352.3045,20016.38,19758.104000000003,20524.265507083623,20944.112108499125,20104.41890566812
178,20221108 10:00:00,19775.8,19786.31,19649.14,19690.25,12789.22464,20806.862666666668,20304.099,19933.980000000003,19755.278000000002,20484.54408352184,20889.840024701974,20079.248142341705
179,20221108 11:00:00,19690.25,19736.83,19580.33,19699.04,16578.59592,20780.190500000004,20250.8035,19841.008,19738.484,20447.13338703058,20843.19973403914,20051.06704002202
180,20221108 12:00:00,19699.04,19746.78,19645.66,19722.32,12839.36089,20753.476,20203.770500000002,19768.788,19723.568,20412.613419465008,20789.297131671483,20035.929707258532
181,20221108 13:00:00,19723.21,19727.35,19500.01,19554.76,15979.84385,20726.099833333334,20146.3585,19709.398,19688.54,20371.757570699443,20756.240911721932,19987.274229676954
