,Date,Time,Open,High,Low,Close,TotalVolume
14123,20221119,00:55:00,16669.7,16675.73,16662.6,16664.26,272.45661
14124,20221119,01:00:00,16664.77,16671.41,16660.07,16668.88,267.52951
14125,20221119,01:05:00,16668.88,16676.94,16662.04,16667.16,254.83773
14126,20221119,01:10:00,16666.68,16672.76,16660.23,16668.88,352.34887
14127,20221119,01:15:00,16669.34,16671.16,16661.29,16664.1,269.18253
14128,20221119,01:20:00,16664.1,16674.57,16660.0,16673.09,310.81765
14129,20221119,01:25:00,16673.09,16678.87,16670.83,16675.7,269.67483
14130,20221119,01:30:00,16676.33,16682.71,16661.45,16661.92,401.9134
14131,20221119,01:35:00,16662.31,16662.81,16651.38,16662.06,384.23251
14132,20221119,01:40:00,16662.06,16663.88,16651.16,16655.22,216.21797
14133,20221119,01:45:00,16655.22,16658.93,16650.72,16655.15,295.60263
14134,20221119,01:50:00,16655.15,16660.82,16653.02,16658.92,153.55286
14135,20221119,01:55:00,16658.92,16667.45,16656.87,16664.75,190.55594
14136,20221119,02:00:00,16665.69,16665.7,16640.02,16643.54,379.98996
14137,20221119,02:05:00,16643.19,16644.5,16608.29,16620.18,1175.73459
14138,20221119,02:10:00,16620.18,16634.38,16616.01,16624.26,335.70646
14139,20221119,02:15:00,16624.26,16629.99,16586.05,16600.97,1121.67764
14140,20221119,02:20:00,16601.84,16612.51,16598.76,16608.94,352.47205
14141,20221119,02:25:00,16609.38,16610.19,16590.25,16607.22,489.1526
14142,20221119,02:30:00,16606.78,16609.31,16573.94,16607.79,705.80154
14143,20221119,02:35:00,16607.79,16617.0,16596.3,16615.5,395.17902
14144,20221119,02:40:00,16614.86,16624.9,16610.0,16618.64,353.94224
14145,20221119,02:45:00,16618.64,16632.65,16616.09,16625.79,321.29537
14146,20221119,02:50:00,16625.0,16630.68,16618.04,16622.5,350.98505
14147,20221119,02:55:00,16621.88,16637.05,16621.5,16624.24,418.88685
14148,20221119,03:00:00,16624.24,16626.93,16620.3,16624.63,244.97703
14149,20221119,03:05:00,16624.72,16641.35,16622.54,16632.84,363.24806
14150,20221119,03:10:00,16632.84,16650.0,16630.4,16648.88,425.96428
14151,20221119,03:15:00,16648.15,16652.96,16628.96,16630.37,371.23582
14152,20221119,03:20:00,16629.94,16631.47,16621.98,16627.83,259.52673
14153,20221119,03:25:00,16627.73,16631.55,16611.89,16615.97,344.39318
14154,20221119,03:30:00,16615.97,16637.87,16613.49,16631.74,319.83422
14155,20221119,03:35:00,16631.2,16631.74,16615.74,16623.53,348.34913
14156,20221119,03:40:00,16623.27,16632.53,16622.03,16631.16,217.33264
14157,20221119,03:45:00,16631.16,16642.26,16630.07,16639.4,319.01884
14158,20221119,03:50:00,16638.79,16641.55,16627.25,16630.43,233.37481
14159,20221119,03:55:00,16630.43,16632.88,16624.38,16628.7,189.08116
14160,20221119,04:00:00,16628.7,16636.56,16627.0,16630.9,242.59202
14161,20221119,04:05:00,16630.44,16631.69,16615.3,16617.0,225.27485
14162,20221119,04:10:00,16617.0,16634.39,16615.11,16624.68,295.53529
14163,20221119,04:15:00,16623.88,16632.73,16617.61,16631.41,274.55715
14164,20221119,04:20:00,16631.41,16649.0,16629.43,16645.87,467.30818
14165,20221119,04:25:00,16645.87,16648.68,16638.6,16643.25,295.63503
14166,20221119,04:30:00,16642.52,16648.97,16640.65,16645.28,275.78355
14167,20221119,04:35:00,16645.28,16645.71,16631.9,16632.77,193.56811
14168,20221119,04:40:00,16632.77,16646.94,16631.79,16640.36,219.76977
14169,20221119,04:45:00,16640.91,16647.33,16632.07,16632.33,316.8227
14170,20221119,04:50:00,16632.81,16634.22,16623.44,16625.96,310.59028
14171,20221119,04:55:00,16625.39,16635.55,16618.81,16635.14,260.04188
14172,20221119,05:00:00,16635.14,16642.89,16628.96,16630.55,228.94063
14173,20221119,05:05:00,16630.33,16637.42,16619.0,16636.52,260.9633
14174,20221119,05:10:00,16636.52,16639.98,16596.16,16599.83,666.3736
14175,20221119,05:15:00,16599.37,16614.4,16553.53,16573.24,1899.7989
14176,20221119,05:20:00,16573.24,16586.9,16556.31,16583.94,980.93186
14177,20221119,05:25:00,16583.94,16596.8,16573.68,16590.36,611.03419
14178,20221119,05:30:00,16591.41,16601.71,16583.47,16586.37,571.2285
14179,20221119,05:35:00,16585.93,16596.1,16570.0,16588.3,585.08815
14180,20221119,05:40:00,16588.87,16599.71,16587.43,16598.12,417.23043
14181,20221119,05:45:00,16598.74,16599.12,16585.36,16596.78,463.85854
14182,20221119,05:50:00,16596.78,16607.63,16595.07,16599.19,565.68381
14183,20221119,05:55:00,16599.19,16604.78,16588.91,16597.92,451.47093
14184,20221119,06:00:00,16598.73,16602.19,16583.88,16593.59,359.06138
14185,20221119,06:05:00,16593.59,16595.18,16579.42,16585.08,315.84748
14186,20221119,06:10:00,16585.08,16587.96,16573.31,16578.93,309.61668
14187,20221119,06:15:00,16578.93,16605.54,16567.95,16594.12,507.779
14188,20221119,06:20:00,16593.47,16620.0,16589.41,16616.94,486.79552
14189,20221119,06:25:00,16616.94,16622.62,16607.0,16607.57,456.98775
14190,20221119,06:30:00,16607.57,16608.82,16581.8,16588.49,444.17623
14191,20221119,06:35:00,16589.08,16605.5,16588.49,16597.49,302.29188
14192,20221119,06:40:00,16597.01,16610.96,16596.33,16598.36,368.43504
14193,20221119,06:45:00,16598.94,16607.48,16594.03,16603.13,304.37537
14194,20221119,06:50:00,16602.64,16610.0,16598.93,16605.51,233.85234
14195,20221119,06:55:00,16605.5,16612.86,16604.48,16609.44,308.18971
14196,20221119,07:00:00,16609.44,16610.19,16603.62,16609.12,255.05381
14197,20221119,07:05:00,16608.58,16618.93,16607.3,16611.71,613.39587
14198,20221119,07:10:00,16611.78,16618.99,16610.0,16615.2,443.21633
14199,20221119,07:15:00,16615.2,16618.38,16606.94,16611.0,398.15622
14200,20221119,07:20:00,16611.0,16617.87,16609.68,16612.56,296.9039
14201,20221119,07:25:00,16612.56,16613.55,16605.1,16608.34,273.22532
14202,20221119,07:30:00,16608.32,16610.0,16603.0,16605.72,241.83947
14203,20221119,07:35:00,16605.72,16612.55,16603.49,16604.64,328.87231
14204,20221119,07:40:00,16604.64,16610.48,16602.17,16605.4,273.1487
14205,20221119,07:45:00,16604.87,16616.39,16604.2,16607.94,373.88178
14206,20221119,07:50:00,16607.21,16608.26,16597.05,16600.29,347.35618
14207,20221119,07:55:00,16600.69,16607.27,16598.68,16599.31,232.28311
14208,20221119,08:00:00,16598.98,16611.84,16591.0,16607.81,426.39591
14209,20221119,08:05:00,16607.51,16610.14,16598.79,16600.46,296.59048
14210,20221119,08:10:00,16601.09,16608.82,16600.1,16601.64,275.51498
14211,20221119,08:15:00,16601.03,16606.82,16599.42,16600.57,251.16047
